game_id,players,team,min,fgm,fga,x3pm,x3pa,ftm,fta,reb,oreb,dreb,ast,stl,blk,to,pf,pts
zfxe4imyud75,Natasha Cloud,Phantom,12,5,8,1,3,0,0,3,1,2,4,1,1,1,2,11
zfxe4imyud75,Brittney Griner,Phantom,13,6,11,0,1,0,0,4,0,4,1,0,2,4,4,12
zfxe4imyud75,Katie Lou Samuelson,Phantom,9,3,4,1,1,0,0,1,0,1,2,0,0,1,1,7
f0yh4kyfe5iy,Napheesa Collier,Lunar Owls,14,10,14,0,1,4,6,7,0,7,0,1,1,1,5,26
f0yh4kyfe5iy,Allisha Gray,Lunar Owls,16,6,12,3,5,2,3,6,1,5,2,1,1,1,5,19
f0yh4kyfe5iy,Skylar Diggins-Smith,Lunar Owls,10,5,10,1,4,3,4,2,2,0,4,2,0,1,4,16
f0yh4kyfe5iy,Courtney Williams,Lunar Owls,9,4,7,0,1,0,0,2,0,2,5,0,0,0,1,8
f0yh4kyfe5iy,Shakira Austin,Lunar Owls,8,3,5,0,0,0,0,4,2,2,2,1,0,4,3,6
f0yh4kyfe5iy,Kayla McBride,Laces,17,9,14,6,8,1,1,8,1,7,2,1,0,4,3,26
f0yh4kyfe5iy,Tiffany Hayes,Laces,12,6,13,1,4,2,3,3,0,3,5,2,0,1,6,17
f0yh4kyfe5iy,Stefanie Dolson,Laces,10,5,9,0,2,1,1,4,3,1,0,0,0,1,2,12
f0yh4kyfe5iy,Jackie Young,Laces,7,4,4,1,1,2,3,2,0,2,3,0,0,0,4,12
f0yh4kyfe5iy,Kate Martin,Laces,9,2,5,0,2,0,0,2,0,2,0,0,0,3,2,4
f0yh4kyfe5iy,Natisha Hiedeman,Laces,3,1,3,0,1,0,0,1,0,1,0,0,0,0,1,2
sjrwaj31kq62,Dearica Hamby,Vinyl,16,14,24,2,4,3,3,15,4,11,1,1,0,4,3,35
sjrwaj31kq62,Arike Ogunbowale,Vinyl,14,2,11,1,4,1,1,2,0,2,6,0,1,1,2,7
sjrwaj31kq62,Jordin Canada,Vinyl,8,2,7,0,1,0,0,2,2,0,3,0,0,2,4,4
sjrwaj31kq62,Rhyne Howard,Vinyl,11,2,8,1,6,3,3,5,1,4,1,2,0,1,3,11
sjrwaj31kq62,Rae Burrell,Vinyl,7,2,5,0,1,1,1,2,1,1,1,0,0,1,1,6
sjrwaj31kq62,Aliyah Boston,Vinyl,4,2,4,0,0,0,1,1,0,1,1,0,0,0,2,4
sjrwaj31kq62,Breanna Stewart,Mist,16,7,14,1,2,4,4,10,0,10,4,3,1,1,2,23
sjrwaj31kq62,Jewell Loyd,Mist,12,3,9,1,2,4,5,2,0,2,1,1,0,0,4,15
sjrwaj31kq62,Rickea Jackson,Mist,11,6,11,1,2,0,0,2,0,2,0,0,1,1,0,13
sjrwaj31kq62,Aaliyah Edwards,Mist,10,8,9,0,0,0,1,6,0,6,1,1,1,2,4,16
sjrwaj31kq62,Courtney Vandersloot,Mist,11,5,7,0,0,0,0,1,0,1,9,1,0,0,4,10
zvudhzbxaaiq,Kayla McBride,Laces,15,7,15,2,7,3,4,6,1,5,2,0,0,0,5,20
zvudhzbxaaiq,Tiffany Hayes,Laces,8,4,9,0,1,3,3,2,0,2,2,1,0,0,1,14
zvudhzbxaaiq,Stefanie Dolson,Laces,13,4,7,1,2,1,1,4,0,4,1,0,3,1,6,11
zvudhzbxaaiq,Jackie Young,Laces,12,4,12,4,7,2,3,1,0,1,3,2,0,0,2,16
zvudhzbxaaiq,Kate Martin,Laces,12,3,11,0,5,1,1,6,1,5,0,1,0,0,1,8
zvudhzbxaaiq,Chelsea Gray,Rose,15,10,16,3,4,2,2,3,2,1,8,0,0,2,2,28
zvudhzbxaaiq,Kahleah Copper,Rose,13,8,14,1,2,2,4,8,1,7,0,0,1,2,4,21
zvudhzbxaaiq,Angel Reese,Rose,8,2,7,0,0,1,1,15,5,10,3,0,1,0,5,6
zvudhzbxaaiq,Azurá Stevens,Rose,13,11,18,0,4,1,2,8,3,5,2,0,0,0,3,23
zvudhzbxaaiq,Lexie Hull,Rose,12,2,7,1,3,0,0,3,1,2,3,0,0,1,5,5
ez47fwm7a025,Satou Sabally,Phantom,11,9,17,2,3,1,2,7,1,6,1,0,0,3,3,22
ez47fwm7a025,Sabrina Ionescu,Phantom,18,5,16,0,4,1,1,5,0,5,9,0,0,0,1,12
ez47fwm7a025,Natasha Cloud,Phantom,10,2,5,1,2,1,1,8,0,8,4,1,0,1,5,7
ez47fwm7a025,Brittney Griner,Phantom,13,8,13,0,0,2,3,8,2,6,2,0,2,1,1,20
ez47fwm7a025,Katie Lou Samuelson,Phantom,7,0,6,0,2,0,0,3,0,3,0,1,0,0,1,0
ez47fwm7a025,Breanna Stewart,Mist,15,7,18,0,2,4,4,13,1,12,4,1,0,2,3,19
ez47fwm7a025,Rickea Jackson,Mist,12,7,16,2,7,1,1,4,1,3,1,0,1,2,2,17
ez47fwm7a025,Jewell Loyd,Mist,13,4,8,3,5,1,1,4,2,2,1,0,0,1,3,13
ez47fwm7a025,DiJonai Carrington,Mist,5,3,6,3,4,1,1,2,0,2,0,0,0,1,0,11
ez47fwm7a025,Courtney Vandersloot,Mist,7,1,4,0,1,0,0,2,0,2,3,1,0,1,3,2
ez47fwm7a025,Aaliyah Edwards,Mist,8,1,8,0,0,0,0,4,1,3,0,0,1,0,2,2
b0zhbxptb17f,Dearica Hamby,Vinyl,13,4,6,0,1,4,5,10,2,8,1,0,0,3,1,14
b0zhbxptb17f,Arike Ogunbowale,Vinyl,10,6,12,0,4,0,0,1,0,1,0,1,0,2,4,12
b0zhbxptb17f,Jordin Canada,Vinyl,9,3,9,0,0,1,1,3,2,1,3,0,0,3,1,8
b0zhbxptb17f,Rhyne Howard,Vinyl,12,9,18,3,9,0,1,5,0,5,1,2,0,2,5,21
b0zhbxptb17f,Rae Burrell,Vinyl,8,5,8,1,2,1,3,1,0,1,3,0,1,0,3,13
b0zhbxptb17f,Aliyah Boston,Vinyl,6,0,1,0,0,0,0,4,0,4,3,1,1,0,1,0
b0zhbxptb17f,Napheesa Collier,Lunar Owls,17,13,18,0,1,6,6,12,1,11,5,4,0,1,4,36
b0zhbxptb17f,Allisha Gray,Lunar Owls,14,8,17,2,5,2,2,2,1,1,3,1,0,0,4,20
b0zhbxptb17f,Skylar Diggins-Smith,Lunar Owls,13,5,10,2,3,1,1,1,0,1,6,2,0,2,4,14
b0zhbxptb17f,Courtney Williams,Lunar Owls,6,3,6,0,1,2,2,3,0,3,3,0,0,1,1,10
b0zhbxptb17f,Shakira Austin,Lunar Owls,7,2,6,0,0,1,1,6,0,6,2,0,0,2,4,5
t4qkedtx86as,Allisha Gray,Lunar Owls,15,7,12,5,8,2,2,6,0,6,2,0,0,2,3,23
t4qkedtx86as,Napheesa Collier,Lunar Owls,23,8,14,2,4,1,1,6,0,6,3,2,0,0,3,20
t4qkedtx86as,Skylar Diggins-Smith,Lunar Owls,14,7,11,0,3,2,2,2,0,2,7,1,0,0,4,18
t4qkedtx86as,Courtney Williams,Lunar Owls,11,7,13,2,2,1,1,4,0,4,5,0,0,0,1,19
t4qkedtx86as,Shakira Austin,Lunar Owls,14,4,9,0,0,3,3,6,6,0,1,0,1,0,2,14
t4qkedtx86as,Brittney Griner,Phantom,19,11,14,0,0,1,3,5,0,5,1,0,1,2,0,23
t4qkedtx86as,Satou Sabally,Phantom,15,5,11,1,4,3,3,7,1,6,3,1,0,3,3,17
t4qkedtx86as,Sabrina Ionescu,Phantom,18,5,11,1,4,1,1,5,0,5,1,1,0,1,3,13
t4qkedtx86as,Natasha Cloud,Phantom,15,4,6,1,3,2,2,0,0,0,8,0,0,1,1,13
t4qkedtx86as,Katie Lou Samuelson,Phantom,10,4,7,2,2,0,0,0,0,0,1,0,0,0,3,10
t6gd1wnapycm,Kahleah Copper,Rose,14,10,21,1,5,0,0,9,2,7,1,1,0,3,3,21
t6gd1wnapycm,Chelsea Gray,Rose,15,7,16,0,3,1,2,4,0,4,7,0,0,3,3,15
t6gd1wnapycm,Angel Reese,Rose,11,4,10,0,0,3,3,12,6,6,1,1,0,1,4,12
t6gd1wnapycm,Azurá Stevens,Rose,7,6,9,1,4,1,1,9,1,8,1,1,0,1,1,15
t6gd1wnapycm,Lexie Hull,Rose,6,3,6,0,1,0,0,6,3,3,2,0,0,2,4,6
t6gd1wnapycm,Brittney Sykes,Rose,6,0,6,0,1,1,1,0,0,0,1,0,0,1,2,2
t6gd1wnapycm,Rickea Jackson,Mist,14,5,12,1,4,3,3,7,1,6,1,0,0,1,1,17
t6gd1wnapycm,Breanna Stewart,Mist,12,5,11,0,1,1,3,4,1,3,0,0,4,1,2,12
t6gd1wnapycm,Jewell Loyd,Mist,8,4,11,0,3,0,0,2,0,2,3,1,0,0,1,8
t6gd1wnapycm,Aaliyah Edwards,Mist,10,4,5,0,0,2,2,3,1,2,0,0,0,4,4,12
t6gd1wnapycm,DiJonai Carrington,Mist,8,5,12,0,2,0,1,8,0,8,1,1,0,0,4,10
t6gd1wnapycm,Courtney Vandersloot,Mist,6,1,4,0,0,1,1,2,0,2,1,1,1,2,1,4
cvf9757d5r0n,Breanna Stewart,Mist,17,7,19,1,2,5,5,17,3,14,4,1,0,1,3,23
cvf9757d5r0n,Rickea Jackson,Mist,8,5,11,3,3,1,1,5,1,4,1,0,0,1,6,15
cvf9757d5r0n,Jewell Loyd,Mist,10,4,9,1,4,1,1,0,0,0,5,1,1,4,1,11
cvf9757d5r0n,Courtney Vandersloot,Mist,12,7,11,1,1,0,0,1,0,1,5,0,0,1,1,15
cvf9757d5r0n,Aaliyah Edwards,Mist,10,6,9,0,0,0,1,4,0,4,1,1,1,3,5,12
cvf9757d5r0n,DiJonai Carrington,Mist,4,1,5,1,1,1,2,3,2,1,3,0,0,2,1,5
cvf9757d5r0n,Napheesa Collier,Lunar Owls,19,16,27,0,2,5,5,15,4,11,3,2,1,4,6,38
cvf9757d5r0n,Allisha Gray,Lunar Owls,16,4,13,4,9,3,3,9,2,7,6,2,0,4,6,18
cvf9757d5r0n,Skylar Diggins-Smith,Lunar Owls,13,6,12,1,3,0,0,2,0,2,5,4,0,4,4,13
cvf9757d5r0n,Courtney Williams,Lunar Owls,7,4,7,0,0,1,1,2,0,2,5,1,0,0,1,9
cvf9757d5r0n,Shakira Austin,Lunar Owls,5,3,5,0,0,1,1,2,0,2,1,0,0,0,2,7
h1nn8q71jybo,Chelsea Gray,Rose,18,11,20,2,5,2,2,2,0,2,2,1,0,2,1,26
h1nn8q71jybo,Angel Reese,Rose,19,3,6,0,0,5,5,15,5,10,1,1,0,1,5,16
h1nn8q71jybo,Lexie Hull,Rose,13,1,7,0,4,0,0,4,1,3,1,1,0,0,4,2
h1nn8q71jybo,Brittney Sykes,Rose,17,7,17,0,4,2,2,5,1,4,1,1,0,4,4,17
h1nn8q71jybo,Azurá Stevens,Rose,12,0,5,0,1,0,1,11,3,8,3,1,2,3,3,0
h1nn8q71jybo,Rhyne Howard,Vinyl,25,7,19,4,9,3,3,3,0,3,1,3,2,2,3,24
h1nn8q71jybo,Dearica Hamby,Vinyl,20,7,15,0,3,4,6,11,4,7,2,0,1,1,4,22
h1nn8q71jybo,Arike Ogunbowale,Vinyl,13,0,7,0,3,0,0,2,0,2,3,1,0,1,3,0
h1nn8q71jybo,Aliyah Boston,Vinyl,9,1,3,0,0,2,2,5,1,4,0,1,1,0,2,5
h1nn8q71jybo,Rae Burrell,Vinyl,13,1,7,0,0,1,2,3,0,3,3,3,0,2,3,4
i8dadcvtugiq,Sabrina Ionescu,Phantom,18,6,17,2,9,1,1,13,4,9,1,1,0,3,2,16
i8dadcvtugiq,Satou Sabally,Phantom,12,6,11,1,5,1,2,7,1,6,2,0,0,2,5,15
i8dadcvtugiq,Natasha Cloud,Phantom,16,6,10,1,5,0,1,4,0,4,8,1,0,0,5,13
i8dadcvtugiq,Brittney Griner,Phantom,17,5,12,0,0,2,2,3,0,3,0,0,3,4,3,14
